Epoka , blad_glowny 
3110 , 0.008800776610461112
3120 , 0.00875592139723369
3130 , 0.0087114618797757
3140 , 0.008667422628889422
3150 , 0.008623773021918042
3160 , 0.008580532898521849
3170 , 0.00853766821313428
3180 , 0.008495183917736657
3190 , 0.008453072391954284
3200 , 0.008411322896487806
3210 , 0.008369974626102793
3220 , 0.008328969480214492
3230 , 0.008288321044622335
3240 , 0.008248023736044783
3250 , 0.00820808172162595
3260 , 0.008168473582906385
3270 , 0.008129235078194567
3280 , 0.008090318104545663
3290 , 0.008051718751357944
3300 , 0.008013475256121371
3310 , 0.007975530896054158
3320 , 0.007937936163772247
3330 , 0.007900643726968087
3340 , 0.007863654670801598
3350 , 0.00782698547002672
3360 , 0.007790635863079141
3370 , 0.007754577818273109
3380 , 0.007718816994296122
3390 , 0.007683343525548902
3400 , 0.007648180977433885
3410 , 0.007613297192871233
3420 , 0.007578701130880008
3430 , 0.0075443721986409844
3440 , 0.007510344040794753
3450 , 0.007476573900379101
3460 , 0.007443083266331143
3470 , 0.007409864296972107
3480 , 0.007376909852433798
3490 , 0.007344227185432346
3500 , 0.007311802296539671
3510 , 0.0072796161200151845
3520 , 0.007247707770305275
3530 , 0.007216030324885776
3540 , 0.007184613634645864
3550 , 0.007153440466647431
3560 , 0.007122513904656922
3570 , 0.007091824641138512
3580 , 0.007061385474009195
3590 , 0.007031168834161989
3600 , 0.00700118863881759
3610 , 0.00697143514203998
3620 , 0.00694191377457988
3630 , 0.006912617719276429
3640 , 0.0068835295552618055
3650 , 0.006854685305243972
3660 , 0.006826039507455149
3670 , 0.006797618082859822
3680 , 0.0067694156075660825
3690 , 0.00674142118339148
3700 , 0.006713631200964685
3710 , 0.00668605034609736
3720 , 0.006658678317986149
3730 , 0.006631492680865244
3740 , 0.006604526321871532
3750 , 0.006577751888557262
3760 , 0.006551164477485804
3770 , 0.006524785848325125
3780 , 0.006498594272848677
3790 , 0.006472593670226763
3800 , 0.006446775091519152
3810 , 0.006421147472394929
3820 , 0.0063956975541928545
3830 , 0.006370434414154406
3840 , 0.006345359266632121
3850 , 0.006320450526866306
3860 , 0.0062957257603395295
3870 , 0.006271183997564886
3880 , 0.0062468056898595465
3890 , 0.006222601514448001
3900 , 0.006198563400163199
3910 , 0.00617469808636385
3920 , 0.006150998910425647
3930 , 0.0061274551087036775
3940 , 0.006104091953944813
3950 , 0.00608088015965656
3960 , 0.0060578245962013225
3970 , 0.006034931519831705
3980 , 0.006012203215993678
3990 , 0.005989617585005205
4000 , 0.005967198816303629
4010 , 0.00594492585161062
4020 , 0.005922804333779582
4030 , 0.005900832263163354
4040 , 0.005879003665078863
4050 , 0.0058573329034548975
4060 , 0.005835799199510287
4070 , 0.005814412949649994
4080 , 0.005793165979219389
4090 , 0.005772056711639376
4100 , 0.005751096669992685
4110 , 0.005730266904403305
4120 , 0.005709578684409746
4130 , 0.005689031137442737
4140 , 0.005668609276414532
